검색조건
대출기간,2024-01-01 ~ 2024-12-28
성별,전체
연령,20대
지역,전체
ISBN 부가기호,전체
주제,예술
세부주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2024-12-29
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"79","(가가미 다카히로가 알려주는) 손 그리는 법 =압도적으로 마음을 사로잡는 작화법 /How to draw hands ","가가미 다카히로 지음 ;박현정 옮김","이아소","2021","","9791187113515","13650","657.1","158",
"81","오늘도 스마트폰으로 인생사진을 찍습니다 :평범한 일상을 화보로 만들어주는 책 ","방쿤 지음","T.W.I.G(티더블유아이지)","2023","","9791191590197","03660","662","157",
"82","(난생 처음 한번 들어보는) 클래식 수업","민은기 지음","사회평론","2018","1","9791162730256","03600","670.15","155",
"82","게임 :행위성의 예술 ","C. 티 응우옌 지음 ;이동휘 옮김","워크룸 프레스","2022","","9791189356897","03690","691","155",
"84","(일러스트와 만화를 위한) 구도 노하우 ","저자: 마츠오카 신지 ;번역: 김재훈","Youngjin.com(영진닷컴)","2019","","9788931461053","13650","657.1","154",
"84","나는 스마트폰으로 매일 인생사진 찍는다 :일상을 화보로 만들어주는 책 ","방쿤 지음","T.W.I.G(티더블유아이지)","2019","","9791195733781","13660","662","154",
"86","라프 코스터의 재미이론 :아마존 10년 연속 베스트셀러! ","라프 코스터 지음, 그림 ;전유택 옮김","길벗","2017","","9791160501315","93560","691.15","153",
"87","재즈 잇 업 :남무성의 만화로 보는 재즈의 역사 =Jazz it up : a cartoon book of jazz history ","지은이: 남무성","서해문집","2018","","9788974839147","03670","673.53","150",
"88","하루 한 장, 인생 그림 :아트메신저 이소영이 전하는 명화의 세계 ","이소영 지음","RHK(알에이치코리아)","2023","","9788925576992","03600","650.4","149",
"88","파리의 미술관 =루브르에서 퐁피두까지 가장 아름다운 파리를 만나는 시간 /Les Mus?es ? Paris ","지은이: 이혜준,일러스트: 욘즈","Clove(클로브)","2023","","9791197880544","03600","606.9263","149",
"90","죽어야 끝나는 야구 환장 라이프 ","쌍딸 지음","팩토리나인","2021","","9791165343316","03810","695.704","147",
"91","조훈현, 고수의 생각법 :생각은 반드시 답을 찾는다 ","조훈현 지음","인플루엔셜","2015","","9791186560020","03810","691.204","146",
"92","(카콜의) 어반 스케치 =펜 드로잉으로 스케치북 한 권 끝내기 /Urban sketch ","카콜 지음","Ejong(이종)","2022","","9788979293555","13650","656.8","145",
"93","오래되고 멋진 클래식 레코드 =My good old classical records ","지은이: 무라카미 하루키 ;옮긴이: 홍은주","문학동네","2022","","9788954685672","03830","670.15","144",
"93","(난생 처음 한번 공부하는) 미술 이야기","양정무 지음","사회평론","2016","2","9788964358306","03600","601","144",
"93","음악으로 자유로워지다 ","저자: 류이치 사카모토 ;역자: 양윤옥","청미래","2023","","9788986836882","03670","670.99","144",
"96","미술관을 좋아하게 될 당신에게 =미술 전시 감상에서 아트 컬렉팅까지 예술과 가까워지는 방법 /Dear you who will be loving art museums ","김진혁 지음","초록비책공방","2023","","9791191266719","03600","601.04","143",
"97","(최신 기법의) 아나토미@ 조형·회화·애니메이션 창작을 위한 인체 해부도감 ","공동 저자: Uldis Zarins,번역: Jeranimo Yoo","MGHbooks(엠지에이치북스)","2017[실은 20","","9791186655214","93650","657.18","141",
"98","포인트 캐릭터 드로잉 =Point character drawing","지은이: 타코 ;한영번역: 김주은","레진엔터테인먼트","2021","1","9791163988205","04650","657.1","137",
"98","악기 연습하기 싫을 때 읽는 책 :다 큰 어른이 악기를 배운다는 것 ","톰 히니 지음 ;권혜원 옮김","노천서재","2022","","9791197765308","03670","670.4","137",
"100","그니까 작사가 뭐냐면 :작사가를 꿈꾸는 모든이들에게, 일상이 곧 작사다! ","안영주 지음","더 디퍼런스","2020","","9791161252643","13670","673.511","135",
"100","루브르에서 쇼팽을 듣다 :나의 하루를 그림과 클래식으로 위로 받는 마법 같은 시간 ","안인모 지음","지식서재","2024","","9791190266055","03600","670.15","135",
"102","디자이너의 생각법 :크리에이터를 위한 관점 전환의 기술 /The designer's thinking process : shift ","이상인 지음","가나문화콘텐츠","2019","","9788957364444","03320","658.04","132",
"102","(난생 처음 한번 공부하는) 미술 이야기","양정무 지음","사회평론","2016","5","9791162730249","03600","601","132",
"102","화가가 사랑한 나무들 :명화 속 101가지 나무 이야기 ","앵거스 하일랜드,주은정 옮김","와이즈맵","2023","","9791197060298","03600","650.4","132",
"105","연기하지 않는 연기 ","해럴드 거스킨 지음 ;이은주 옮김","Doremi(도레미엔터테인먼트)","2019","","9791196417826","04600","688.16","131",
"106","반 고흐, 영혼의 편지 ","빈센트 반 고흐 지음 ;신성림 옮기고 엮음","위즈덤하우스 미디어그룹","2017","","9788959135219","03890","653.269","130",
"107","미학 오디세이 ","진중권 지음","휴머니스트 출판그룹","2014","1","9788958626787","04600","601","129",
"107","(서사가 전해지는) 그림 연출법 ","가토 오스왈도 지음 ;김재훈 옮김","잉크잼","2024","","9788979293975","13650","657.1","129",
"107","(Light) 미술가를 위한 빛의 이해와 활용 ","리처드 요트 지음 ;안영진 옮김","비즈앤비즈","2014","","9788997716425","03600","601","129",
"110","묘사하는 마음 :김혜리 영화 산문집 ","지은이: 김혜리","마음산책","2022","","9788960907515","03810","688.04","128",
"110","포인트 캐릭터 드로잉 =Point character drawing","지은이: 타코 ;한영번역: 김주은","레진엔터테인먼트","2021","2","9791163988212","04650","657.1","128",
"110","배우와 배우가 :김신록 인터뷰집 ","김신록","안온(안온북스)","2023","","9791192638065","03810","681.604","128",
"113","90일 밤의 미술관 =하루 1작품 내 방에서 즐기는 유럽 미술관 투어 /90 nights' museum ","이용규,이진희 지음","동양북스","2020","","9791157686629","03600","606.92","127",
"113","아무튼, 아이돌 ","지은이: 윤혜은","제철소","2021","","9791188343492","02810","673.504","127",
"115","불온한 것들의 미학 :포르노그래피에서 공포 영화까지, 예술 바깥에서의 도발적 사유 ","이해완 지음","21세기북스(북이십일 21세기북스)","2020","","9788950992545","04300","601","126",
"116","90일 만에 달라지는 일러스트 향상 강좌 :매일 그리면 확 바뀌는 90일간 초보 탈출 프로그램 ","다테나오토 지음 ;김재훈 옮김","한즈미디어","2022","","9791160077698","13650","657.1","125",
"117","달리기, 몰입의 즐거움 ","미하이 칙센트미하이,제효영 옮김","샘터","2019","","9788946421080","03190","694.3","123",
"117","(난생 처음 한번 공부하는) 미술 이야기","양정무 지음","사회평론","2016","1","9788964358290","03600","601","123",
"117","디자이너의 작업 노트 =Designer's notebook ","장기성 지음","길벗","2022","","9791165218225","03600","658.3","123",
"120","당신의 마음에 영화를 처방해 드립니다 :영화를 사랑한 심리학, 심리학이 새겨진 영화 ","지은이: 전우영","행성B(행성비)","2022","","9791164712144","03180","688.018","122",
"120","필사의 기초 :좋은 문장 잘 베껴 쓰는 법 ","조경국 지음","유유","2016","","9791185152486","03020","646","122",
"122","여자 주인공만 모른다 :재미있는 영화 클리셰 사전 ","듀나 지음","제우미디어","2019","","9788959528318","03680","688.04","121",
"122","이토록 재미있는 미술사 도슨트 :14명의 예술가로 읽는 근대 미술의 흐름","박신영 지음","길벗","2023","","9791140706402","03600","653.2045","121",
"122","축구를 하며 생각한 것들 :손흥민 첫 에세이 ","지은이: 손흥민","브레인스토어","2019","1","9791188073382","03810","695.404","121",
"125","박찬욱의 오마주","박찬욱 지음","마음산책","2005","","9788989351825","03810","688.09","120",
"125","심미안 수업 =어떻게 가치 있는 것을 알아보는가 /Esthetic sense ","지은이: 윤광준","지와인","2018","","9791196533403","03100","600.1","120",
"127","미니 캐릭터 그리는 법 :작고 귀여운 굿즈 일러스트 그리기 ","유메노우치 치하루 지음 ;김재훈 옮김","잉크잼","2023","","9788979293807","13650","657.5","119",
"127","뮤지컬 익스프레스 슈퍼스타 =Musical express superstar ","황조교 지음","초록비책공방","2022","","9791191266337","03670","674.2","119",
"129","요시다 세이지 작품집 :일러스트를 위한 투시도법 ","저자: 요시다 세이지 ;번역: 고영자","Youngjin.com(영진닷컴)","2021","","9788931465907","","657.5","118",
"129","뜻밖의 미술관 :생각을 바꾸는 불편하고 위험한 그림들 ","김선지 지음","다산북스","2023","","9791130699738","03600","601","118",
"129","스튜디오 지브리 입체 건축展 :도록 <복각판> ","감수: 후지모리 데루노부 ;역자: 이선희","학산문화사","2023","","9791141108601","17370","688.6","118",
"129","시간의 각인 ","안드레이 타르콥스키 지음 ;라승도 옮김","곰출판","2021","","9791189327125","03680","688","118",
"129","마음까지 몽글몽글 아이패드 드로잉 :프로크리에이트로 시작하는 세상에서 가장 쉬운 아이패드 드로잉 ","한승현 지음","앤제이books","2021","","9791190279062","13650","652.59","118",
"134","사적이고 지적인 미술관 =당신이 지나친 미술사의 특별한 순간들 /Private and intellectual art gallery ","이원율 지음","RHK(알에이치코리아)","2023","","9788925576367","03600","609","117",
"135","이것은 라울 뒤피에 관한 이야기 ","이소영 지음","RHK(알에이치코리아)","2023","","9788925576152","03600","653.26","116",
"135","(무로이 야스오의 가장 쉬운 3단계로 완성하는) 캐릭터 얼굴 & 바스트업 작화 기술 ","저자: 무로이 야스오 ;번역: 김재훈","Youngjin.com(영진닷컴)","2023","","9788931467598","13650","657.1","116",
"135","리추얼 :세상의 방해로부터 나를 지키는 혼자만의 의식 ","지은이: 메이슨 커리 ;옮긴이: 강주헌","한국물가정보","2014","","9788962606317","03100","600.99","116",
"135","미술관에 간 해부학자 =명화로 읽는 인체의 서사 /Gallery of anatomy ","이재호 지음","어바웃어북","2021","","9791187150916","03470","650.4","116",
"139","만화 캐릭터 데생 입문 :360˚어떤 각도도 완벽 마스터 ","일러스트: 후지이 에이?,사유","Ejong(이종)","2019","","9788979292954","13650","657.1","115",
"139","(난생 처음 한번 공부하는) 미술 이야기 :내셔널 갤러리 특별판 ","양정무 지음","사회평론","2023","","9791162732977","03600","601.04","115",
"141","그림 읽는 법 :내 삶에 진짜 미술을 들이는 첫 번째 시간 ","김진 지음","윌북","2023","","9791155816578","03600","650.4","114",
"141","(디지털 일러스트를 위한) 드로잉 해부학 ","ImagineFX 엮음 ;최다인 옮김","아트인북","2016","","9791195132560","03650","654.5","114",
"143","김도훈 작곡법 ","지은이: 김도훈","1458music","2018","","9791189598006","13670","671.61","113",
"143","오늘도, 수영 :나만의 취미로 삶의 쉼표를 그리는 본격 수영 부추김 에세이 ","글·그림: 아슬","비전비엔피","2019","","9791190147057","03810","696.104","113",
"145","90일 밤의 미술관 :루브르에서 여행하듯 시작하는 교양 미술 감상 /90 nights' museum : Louvre Museum ","이혜준,최준호 지음","동양북스","2021","","9791157687114","03600","606.926","111",
"145","그림은 금방 능숙해지지 않는다 :개인 맞춤형 그림 트레이닝북 ","나리토미 미오리 지음 ;양필성 옮김","스몰빅미디어","2016","","9791187165064","13650","656.2","111",
"145","디자인, 이것만 알면 쉬워져요 :with 63가지 lesson ","요네쿠라 아키오,최재원 옮김","책만","2024","","9791189909604","13000","658.3","111",
"148","벌거벗은 미술관 :양정무의 미술 에세이 ","지은이: 양정무","창비","2021","","9788936478780","03600","650.4","110",
"148","달리기의 모든 것 :달리기 자세부터 주법, 장비, 기술, 부상 대처법까지 ","지은이: 남혁우","매경출판","2022","","9791164843763","03690","694.3","110",
"148","축구를 하며 생각한 것들 :손흥민 첫 에세이 ","손흥민 지음","BS(브레인스토어)","2020","","9791188073559","03810","695.404","110",
"151","겁내지 않고 그림 그리는 법 ","저자: 이연","미술문화","2021","","9791185954707","03600","650.4","109",
"152","마법의 디자인 :배우고, 생각하고, 직접 만들어보며 기초를 확실하게  다지는 디자인 입문서 ","사카모토 신지 지음 ;김경균 편역","우듬지","2016","","9788967540715","13650","658","108",
"152","방구석 뮤지컬 :전율의 기억, 명작 뮤지컬 속 명언 ","이서희 지음","Ritec Contents(리텍 콘텐츠)","2022","","9791186151563","03190","674.204","108",
"154","카메라 앞에서 연기한다는 것 :영화 <해피 아워> 연출 노트와 각본집 ","하마구치 류스케,이환미 옮김","Mocushura(모쿠슈라)","2022","","9791197884603","03680","688.1","107",
"155","만화 스토리 창작의 모든 것 :아이디어에서 대본, 시놉시스까지 완벽한 가이드 ","마크 니스 지음 ;정아영 옮김","다른","2017","","9791156331629","03600","657.1","106",
