검색조건
대출기간,2024-01-01 ~ 2024-12-28
성별,전체
연령,20대
지역,전체
ISBN 부가기호,전체
주제,총류
세부주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2024-12-29
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"95","(내면의 성장을 넘어 경제적 부까지 이뤄준) 10억짜리 독서법 ","손승욱 지음","위즈덤하우스","2023","","9791168127654","03320","029.4","154",
"95","작가처럼 읽는 법 ","지은이: 에린 M. 푸시먼 ;옮긴이: 김경애","더난콘텐츠(더난콘텐츠그룹)","2024","","9791193785003","03800","029.4","154",
"99","(프로 일잘러의) 슬기로운 노션 활용법 :20가지 노션 템플릿과 함께하는 ","이석현 지음","커넥트밸류","2022","","9791192227603","13320","005.58","153",
"100","(그림으로 공부하는) IT 인프라 구조 =IT infrastructure ","야마자키 야스시,김완섭 옮김","Jpub(제이펍)","2020","","9791190665209","93000","004.2","152",
"101","데이터 천재들은 어떻게 기획하고 분석할까? :직관을 넘어 핵심을 꿰뚫는 데이터 분석의 절대 법칙 ","조성준,이영훈 지음","21세기북스(북이십일 21세기북스)","2022","","9788950900229","03320","005.76","151",
"102","오브젝트 =코드로 이해하는 객체지향 설계 /Objects ","조영호 지음","위키북스","2019","","9791158391409","93500","005.115","150",
"102","그림으로 이해하는 AWS 구조와 기술 =The structure and technology of AWS ","오가사와라 시게타카 지음 ;성창규 옮김","길벗","2021","","9791165215682","93000","004.588","150",
"104","(Do it!) 점프 투 파이썬 :중학생도 첫날부터 실습하는 초고속 입문서 ","박응용 지음","이지스퍼블리싱","2023","","9791163034735","13000","005.133","149",
"104","IT 엔지니어를 위한 네트워크 입문 =Introduction to networks for IT engineers ","고재성,이상훈 지음","길벗","2020","","9791165213183","93560","004.5","149",
"104","혼자 공부하는 네트워크 :1:1 과외하듯 배우는 네트워크 자습서 ","강민철 지음","한빛미디어","2024","","9791169212144","94000","004.5","149",
"107","(UX/UI 디자이너를 위한) 실무 피그마 :디자인 시스템에서 개발 전달까지 ","클레어 정 지음","한빛미디어","2021","","9791162244760","93000","004.78","148",
"107","혼자 공부하는 데이터 분석 :1:1 과외하듯 배우는 데이터 분석 자습서 ","지은이: 박해선 ;박해선","한빛미디어","2023","","9791169210287","94000","005.76","148",
"109","노션 =업무와 일상을 정리하는 새로운 방법 /Notion ","지은이: 전시진,이해봄","Jpub(제이펍)","2022","","9791192469522","13000","005.58","147",
"110","(Do it!) 알고리즘 코딩 테스트.Do it! algorithm coding test with Java ","김종관 지음","이지스퍼블리싱","2022","","9791163033448","13000","005.13","144",
"110","(No.1 영상 편집 유튜버) 비됴클래스의 유튜브 영상 편집 :with 프리미어 프로 ","하지원 지음","한빛미디어","2023","","9791169210669","13000","005.567","144",
"112","(세상에서 가장 쉬운) 코딩책 :6개월 만에 비전공자에서 개발자가 된 위캔코딩의 기초 코딩 수업 ","위캔코딩 지음","길벗","2023","","9791140703210","03000","005.13","141",
"112","나의 첫 블렌더 :19개의 실전 예제를 따라하며 배우는 ","Benjamin 지음 ;윤인성 옮김","위키북스","2021","","9791158392741","13000","004.76","141",
"114","(그림으로 이해하는) 네트워크 구조와 기술 =Structure and technology of network ","나카오 신지 지음 ;김성훈 옮김","길벗","2023","","9791140705184","93000","004.5","140",
"115","이것이 UX/UI 디자인이다 =실무 디자인 방법론으로서의 UX/UI 디자인 /This is UX/UI design ","지은이: 조성봉 ;엮은이: 전이주","위키북스","2020","","9791158392093","93000","004.78","139",
"115","챗GPT와 글쓰기 :chatGPT와 함께하는 AI 글쓰기 실전 ","지은이: 김철수 ;전이주","위키북스","2023","","9791158394233","13000","004.73","139",
"115","책의 말들 :다른 세계를 상상하고 공감하기 위하여 ","김겨울 지음","유유","2021","","9791189683825","04800","029.04","139",
"115","너는 다시 태어나려고 기다리고 있어 :이슬아 서평집 2019 ","이슬아 지음","헤엄 출판사","2019","","9791196589158","03810","029.1","139",
"119","사서, 고생 :책보다 사람을 좋아해야 하는 일 ","김선영 지음","문학수첩","2023","","9791192776200","03810","023.204","138",
"119","여덟 단어 :인생을 대하는 우리의 자세 ","지은이: 박웅현","인티N(인티앤)","2023","","9791197977046","03100","001.3","138",
"121","독서의 즐거움 ","지은이: 수잔 와이즈 바우어 ;옮긴이: 이옥진","민음사","2020","","9788937490873","03800","029","137",
"121","(비됴클래스 하?의) 유튜브 동영상 편집 :초보자도 쉽게! 유튜버를 위한 프리미어 프로 필수 기능과 활용법 25가지 ","하지원 지음","한빛미디어","2018","","9791162241349","13000","005.567","137",
"121","다시, 어떻게 읽을 것인가 :종이에서 스크린, 오디오까지 디지털 전환 시대의 새로운 읽기 전략 ","나오미 배런 지음 ;전병근 옮김","어크로스(어크로스출판그룹)","2023","","9791167740847","03020","029.4","137",
"124","(Do it!) 깃&깃허브 입문 :지옥에서 온 문서 관리자 ","이고잉,고경희 지음","이지스퍼블리싱","2019","","9791163031222","13000","005.13","136",
"125","1시간에 1권 퀀텀 독서법 :하루 30분 3주면 된다! ","김병완 지음","청림출판","2017","","9788935211609","03320","029.4","135",
"125","IT 5분 잡학사전 :학교에서 알려 주지 않는 IT 지식 ","니꼴라스,배지현 지음","이지스퍼블리싱","2022","","9791163034001","13000","004","135",
"127","미치지 않고서야 :일본 천재 편집자가 들려주는 새로운 시대, 일하기 혁명 ","미노와 고스케 지음 ;구수영 옮김","21세기북스","2019","","9788950981839","93320","013","134",
"128","책 잘 읽는 방법 :폼나게 재미나게 티나게 읽기 ","김봉진 지음","북스톤","2018","","9791187289302","03320","029.4","133",
"129","(그림으로 쉽게 이해하는) 웹/HTTP/네트워크 :풍부한 그림과 다양한 예시로 쉽고 재미있게 배우자! ","임지영 지음","위키북스","2023","","9791158394196","93000","004.5","130",
"130","(Do it!) C 언어 입문 ","김성엽 지음","이지스퍼블리싱","2017","","9791187370703","13000","005.133","129",
"131","개발자로 살아남기 :한글과컴퓨터, 블리자드, 넥슨, 삼성전자, 몰로코 출신 개발자의 30년 커리어패스 인사이트 ","박종천 지음","Golden Rabbit(골든래빗)","2022","","9791191905113","93000","005.104","128",
"132","논리적 사고를 기르는 알고리즘 수업 :알고리즘보다 먼저 공부하는 알고리즘 사고 방식 ","롤랜드 백하우스 지음 ;윤교준 옮김","인사이트","2024","","9788966264247","93000","005.1","127",
"133","양자컴퓨터의 미래 :양자컴퓨터 혁명은 세상을 어떻게 바꿀 것인가 ","지은이: 미치오 카쿠 ;옮긴이: 박병철","김영사","2023","","9788934955177","03400","004.73","126",
"133","코딩 자율학습 나도코딩의 C 언어 입문 =스스로 하는 프로그래밍 공부 /C for beginners with Nadocoding ","나도코딩 지음","길벗","2022","","9791140701551","93000","005.133","126",
"135","(10대라면 반드시 알아야 할) 교양 개념어 사전 ","지은이: 신성권","팬덤북스","2022","","9791161692319","03300","001","125",
"136","매일 인문학 공부 ","김종원 지음","시공사","2021","","9791165793999","03190","001.3","124",
"136","삶이 허기질 때 나는 교양을 읽는다","지식 브런치 지음","서스테인","2023","2","9791193388006","03030","001.3","124",
"138","함께 자라기 :애자일로 가는 길 ","김창준 지음","인사이트","2018","","9788966262335","13000","005.1","123",
"138","아는 만큼 보이는 백엔드 개발 :한 권으로 보는 백엔드 로드맵과 커리어 가이드 ","정우현,김보인 지음","길벗","2024","","9791140708116","93000","005.118","123",
"138","Real MySQL 8.0 :개발자와 DBA를 위한 MySQL 실전 가이드 ","백은빈,이성욱 지음","위키북스","2021","1","9791158392703","93000","005.7533","123",
"138","모던 리액트 deep dive :리액트의 핵심 개념과 동작 원리부터 Next.js까지, 리액트의 모든 것 ","김용찬 지음","위키북스","2023","","9791158394646","93000","005.138","123",
"142","(팀 개발을 위한) Git, GitHub 시작하기 :소스코드 버전 관리를 위한 깃·깃허브, 오픈소스 참여 ","정호영,진유림 지음","한빛미디어","2020","","9791162242032","93000","005.12","122",
"142","1년 안에 AI 빅데이터 전문가가 되는 법 :4차 산업혁명 시대의 최고의 직업 ","서대호 지음","반니","2020","","9791190467117","03190","005.76","122",
"144","(Do it!) 알고리즘 코딩 테스트.Do it! algorithm coding test with python ","김종관 지음","이지스퍼블리싱","2022","","9791163033936","13000","005.13","121",
"144","노션 덕후의 놀라운 꿀팁 아카이브 :기본 사용법과 고급 활용법을 넘나드는 마스터 플랜 ","전소라 지음","비제이퍼블릭","2024","","9791165922689","93000","005.58","121",
"144","프로그래머의 뇌 :훌륭한 프로그래머가 알아야 할 인지과학의 모든 것 ","펠리너 헤르만스 지음 ;차건회 옮김","Jpup(제이펍)","2022","","9791191600650","93000","005.1","121",
"147","먼길로 돌아갈까? ","게일 콜드웰 지음 ;이승민 옮김","문학동네","2021","","9788954681834","03840","070.4099","120",
"147","자료구조와 함께 배우는 알고리즘 입문 :내 손으로 직접 코딩하며 확인한다!","Bohyoh Shibata 지음 ;강민 옮김","이지스퍼블리싱","2018","","9791163030072","13000","005.1","120",
"147","육각형 개발자 :시니어 개발자로 성장하기 위한 10가지 핵심 역량 ","최범균 지음","한빛미디어","2023","","9791169211239","93000","005.1","120",
"150","(사용자를) 생각하게 하지 마! :웹과 모바일 사용성 원칙으로 디자인하는 UX ","지은이: 스티브 크룩 ;옮긴이: 이미령","인사이트","2014","","9788966261215","13000","004.78","119",
"150","IT세계의 괴물들 :아무나 이해할 수 있는 IT 이야기 ","글/그림: 아무준수","생능출판사","2024","","9791192932361","13000","004","119",
"150","공부머리 독서법 :실현 가능하고 지속 가능한 독서교육의 모든 것 ","최승필 지음","책구루","2018","","9791196316808","03370","029.8","119",
"153","개발자의 글쓰기 :변수 네이밍부터 릴리스 노트, 장애 보고서, 기술 블로그까지, 프로그래머의 글쓰기 고민 끝! ","지은이: 김철수 ;엮은이: 이대엽","위키북스","2019","","9791158391744","13000","005.1","118",
"153","스프링 부트 핵심 가이드 :스프링 부트를 활용한 애플리케이션 개발 실무 ","지은이: 장정우 ;엮은이: 이대엽","위키북스","2022","","9791158393083","93000","005.118","118",
"153","인터랙티브 웹 페이지 만들기 :프런트엔드 웹의 필수 HTML, CSS, 자바스크립트도 빠르게 정복! ","최성일 지음","이지스퍼블리싱","2021","","9791163032823","13000","005.118","118",
"156","(KAIST 김진형 교수에게 듣는) AI 최강의 수업 :초지능시대, 보통 사람들을 위한 최소한의 지식 ","김진형 지음","매경출판","2020","","9791164841905","03550","004.73","117",
"157","챗GPT와 업무자동화 :1분 만에 끝내는 엑셀, 구글 시트, 파워포인트, 파이썬 자동화 with ChatGPT ","김철수 지음","위키북스","2023","","9791158394288","13000","004.73","115",
