검색조건
대출기간,2024-01-01 ~ 2024-12-28
성별,전체
연령,20대
지역,전체
ISBN 부가기호,전체
주제,역사
세부주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2024-12-29
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"75","(급할 때 바로 써먹는) 1초 여행 꿀팁 :나만 몰랐던 알짜배기 실전 여행 팁 100 ","신익수 지음","매경출판","2024","","9791164846559","13980","980.24","139",
"77","벌거벗은 세계사 :벗겼다, 세상이 감춰온 비극의 순간들","지은이: tvN <벌거벗은 세계사> 제작팀,황규득","교보문고","2023","5","9791170610083","03900","909","136",
"78","헤어진 이들은 홍콩에서 다시 만난다 :주성철 기자의 홍콩영화 성지 순례기 ","주성철 지음","김영사","2022","","9788934961895","03810","981.23402","135",
"79","썬킴의 거침없는 중국사 :신화시대부터 청나라까지 영화처럼 읽는 중국 역사 이야기 ","썬킴 지음","넥서스","2023","","9791166835384","03910","912","134",
"80","아직, 도쿄 ","임진아 글·그림","위즈덤하우스 미디어그룹","2019","","9791190065016","03810","981.32302","130",
"81","디스 이즈 도쿄 =2024~2025년 최신판 /This is Tokyo ","글·사진: 박설희,김민정","Terra(테라)","2024","","9791192767116","13980","981.32302","129",
"82","(프렌즈) 이탈리아 =최신판 '23~'24 /Italy ","황현희 지음","중앙일보에스","2022","","9788927879480","14980","982.802","128",
"82","에이든 국내여행 가이드북 :2024-2025 ","지은이: 이정기,타블라라사 편집팀","타블라라사","2023","","9791190073349","13980","981.102","128",
"84","팔레스타인 100년 전쟁 :정착민 식민주의와 저항의 역사, 1917-2017 ","라시드 할리디 지음 ;유강은 옮김","열린책들","2021","","9788932921488","93910","918.63","127",
"84","사피엔스 :큰글자책 ","지은이: 유발 하라리 ;옮긴이: 조현욱","김영사","2020","1","9788934992042","04900","909","127",
"86","여행자를 위한 교토 답사기 ","유홍준 지음","창비","2023","","9788936479435","03810","981.32802","124",
"87","내가 혼자 여행하는 이유 :7년 동안 50개국을 홀로 여행하며 깨달은 것들 ","카트린 지타 지음 ;박성원 옮김","웅진씽크빅","2015","","9788901204772","03850","980.2","123",
"87","30개 도시로 읽는 한국사 :한 권으로 독파하는 우리 도시 속 재미있는 역사 이야기 ","함규진 지음","다산북스","2023","","9791130699363","04900","911","123",
"87","사라진 홍콩 :우리가 '홍콩'이라 불렀던 것들의 시작과 끝에 대하여 ","류영하 지음","산지니","2023","","9791168611696","03910","912.34","123",
"90","조선잡사 :'사농' 말고 '공상'으로 보는 조선 시대 직업의 모든 것 ","지은이: 강문종,홍현성","민음사","2020","","9788937417801","03910","911.05","122",
