검색조건
대출기간,2024-01-01 ~ 2024-12-28
성별,전체
연령,20대
지역,전체
ISBN 부가기호,전체
주제,언어
세부주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2024-12-29
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"67","진화하는 언어 :유인원에서 사이보그까지, 언어는 어떻게 창조되고 진화했는가 ","모텐 H. 크리스티안센,이혜경 옮김","Whale Books(웨일북)","2023","","9791192097442","03700","701.01","117",
"68","(영어를 핵심 위주로 다시 빠르게 다지고 싶은 분을 위한) 매일 10분 기초 영문법의 기적 :영어패턴이 보이고 영어회화가 된다 ","저자: James M. Vardaman,역자: 황혜숙","키출판사","2017","","9788974574864","13740","745","115",
"69","뉴스 영어의 결정적 표현들 =News english expressions ","박종홍 저","사람in","2021","","9788960498921","14740","744","113",
"69","영어회화 핵심패턴 233 =English patterns 233 ","백선엽 지음","길벗","2023","","9791140702503","03740","747.5","113",
"69","진짜 미국식 영어표현 =Real life English & useful expressions ","김유현 지음","동양북스","2021","","9791157686933","13740","747.5","113",
"72","영어 회화의 결정적 구동사들 =Phrasal verbs for english conversations ","룩룩잉글리쉬 저","사람in","2023","","9788960498075","14740","747.5","112",
"72","(구슬쌤의) 예의 바른 영어 표현 ","구슬 지음","사람in","2021","","9788960498792","13740","747.5","112",
"74","말에 구원받는다는 것 :삶을 파괴하는 말들에 지지 않기 ","지은이: 아라이 유키 ;옮긴이: 배형은","메디치미디어","2023","","9791157062935","03830","701.013","110",
"75","(미국인 사용빈도 다반사) 영어회화 구동사 =Phrasal verbs ","김아영,Jennifer Grill 지음","사람in","2023","","9788960499959","14740","747.5","108",
"75","(한눈에 보인다) 일본어 첫걸음 :처음부터 끝까지 쉽고 친절한 일본어 입문서 =一目でわかる日本語へのダイイッポ : あなたの日本語への第一?を?援します ","저자: Mr. Sun 어학연구소","Old Stairs","2021","","9788997221639","03730","730","108",
"77","신기하게 영어 뇌가 만들어지는 영문법 - 원어민의 머릿속을 다 보여드립니다","주지후 (지은이)","파고다","2020","","9788962818444","","745","107",
"78","영어 회화의 결정적 패턴들 ","지은이: 룩룩잉글리쉬","사람in","2019","","9788960497849","14740","747.5","106",
"78","챗GPT 영어 혁명 :지금 바로 0원으로 AI와 함께 떠나는 어학연수 ","김영익 지음","동양북스","2023","","9791157689385","03190","740.7","106",
"80","(해커스) 일본어 첫걸음 :기초 문형으로 회화부터 JLP까지 ","지은이: 해커스 일본어연구소","해커스 어학연구소","2021","","9788965424215","13730","730","105",
"81","일본어 잘하고 싶을 땐 다락원 독학 첫걸음 ","정의상 지음","Darakwon(다락원)","2018","","9788927712183","18730","730","104",
"81","영어 문장의 결정적 문법들 ","김치훈 저","사람in","2023","","9788960498037","14740","745","104",
"81","(해커스톡) 여행영어 10분의 기적 ","지은이: 해커스 어학연구소","해커스 어학연구소","2019","","9788965422778","13740","747.5","104",
"81","(한 번 배우면 평생 써먹는) 바나나쌤의 1달 완성 영문법","지은이: 아티엔바나나","쌤앤파커스","2022","1","9791165344788","13740","745","104",
"85","(유하다요의) 10시간 일본어 단어 =내 일상에 딱! 내가 매일 쓰는 말부터 빠르게 배우는 일본어 단어장! /10 hours Japanese words ","전유하 지음","길벗","2022","","9791165218720","03730","734","103",
"85","(2주 만에 끝내는) 해커스 OPIc :advanced 공략 ","지은이: 해커스 출판팀","해커스","2015","","9791186272015","13740","740.77","103",
"87","거의 모든 묘사 표현의 영어 ","최주연 지음","사람in","2024","","9791171010523","14740","747.5","99",
"88","미국식 영작문 수업 :미국 대학생의 글쓰기를 지도한 한국인의 토종 한국인을 위한 가장 체계적인 영작문 공부법 ","최정숙 지음","동양북스","2020","","9791157685844","13740","746","97",
"89","국내파 99%가 모르는 하루 10초 영어 뇌 만들기 ","윤훈관 지음","북이십일 21세기북스","2023","","9788950968731","13740","740.7","95",
